City,State,Date_started,Date_ended,Size,Lat,Long,Local_coverage_link,Notes
Downey,CA,,,,33.786594,-118.298662,https://spectrumnews1.com/ca/la-west/news/2020/06/04/sky-lit-up-in-tribute-to-george-floyd--protesters-arrested-in-downtown-la,small
East Palo Alto,CA,,,,37.4688,-122.1411,https://www.mv-voice.com/news/2020/06/02/protesters-block-highway-set-off-fireworks-to-show-solidarity-with-black-lives-matter,
Eureka,CA,,,,40.798802,-124.15192,https://www.northcoastjournal.com/NewsBlog/archives/2020/05/31/another-night-another-george-floyd-protest-in-eureka,
Fort Bragg,CA,,,,39.4,-123.81667,https://www.advocate-news.com/2020/06/03/students-lead-black-lives-matter-protest-downtown/,
Fountain Valley,CA,,,,33.710582,-117.951129,https://www.ocregister.com/2020/06/04/fountain-valley-demonstrators-take-a-knee-in-george-floyd-protest/,
Fullerton,CA,,,,33.879768,-117.896341,https://fullertonobserver.com/2020/05/31/george-floyd-demonstration-in-fullerton/,
Garden Grove,CA,,,,33.787165,-117.931889,https://www.ocregister.com/2020/06/03/before-curfew-kicks-in-hundreds-show-up-for-garden-grove-protest/,
Irvine,CA,,,,33.757245,-117.750414,https://www.ocregister.com/2020/06/03/protesters-gather-again-at-irvine-city-hall-to-honor-the-memory-of-george-floyd/,
La Habra,CA,,,,33.942708,-117.952483,https://www.whittierdailynews.com/2020/06/03/people-gather-in-la-habra-to-protest-the-death-of-george-floyd/,
La Mesa,CA,,,minor,32.76105,-116.998102,https://www.kpbs.org/news/2020/may/31/sd-police-protest-la-mesa/,
La Puente,CA,,,,34.031415,-117.93647,https://www.sgvtribune.com/2020/06/03/curbside-protest-underway-in-la-puente/,small
Long Beach,CA,,,,33.804309,-118.200957,https://lbpost.com/news/angry-over-police-killings-hundreds-of-protestors-march-through-long-beach,
Los Angeles,CA,,,major,33.973951,-118.248405,https://www.latimes.com/california/story/2020-05-31/protesters-explain-why-they-hit-streets-los-angeles,
Los Gatos,CA,,,,37.222788,-121.983274,https://www.nbcbayarea.com/news/george-floyd-protests/hundreds-demand-end-to-racism-at-los-gatos-rally/2302996/,
Menlo Park,CA,,,,37.439616,-122.186373,https://www.mv-voice.com/news/2020/06/02/protesters-block-highway-set-off-fireworks-to-show-solidarity-with-black-lives-matter,
Monrovia,CA,,,,34.1528,-118.000482,https://www.monroviaweekly.com/videos/monrovia-youth-protest-killing/,
Monterey,CA,,,,36.603512,-121.894473,https://www.thecalifornian.com/story/news/2020/05/31/over-200-hundred-show-support-george-floyd-monterey-county/5291924002/,
Mountain View,CA,,,,37.3861,-122.0839,https://www.mv-voice.com/news/2020/06/02/protesters-block-highway-set-off-fireworks-to-show-solidarity-with-black-lives-matter,
