id,cleanedRecordingTitle,originalRecordingTitle,contributors,cleanedEventTitle,originalEventTitle,date
20100512_ca_022sr_pl_cda_bc,Ruben,"Tascam DR000179 Bonsoir Catin performing live @ Café Des Amis: Ruben, traditional tune (public domain)",Bonsoir Catin,"Bonsoir Catin Performing Live at Café Des Amis, Breaux Bridge, LA","5-12-10 “BONSOIR. CATIN” PERFORMING LIVE AT CAFE DES AMIS, BREAUX BRIDGE, LA (CHRISTINE BALFA-POWELL, ANYA BURGESS, KRISTI GUILLORY, YVETTE LANDRY)",2010-05-12
20100512_ca_024sr_pl_cda_bc,Bosco Stomp,"Tascam DR000181 Bonsoir Catin performing live @ Café Des Amis: Bosco Stomp, traditional tune (public domain)",Bonsoir Catin,"Bonsoir Catin Performing Live at Café Des Amis, Breaux Bridge, LA","5-12-10 “BONSOIR. CATIN” PERFORMING LIVE AT CAFE DES AMIS, BREAUX BRIDGE, LA (CHRISTINE BALFA-POWELL, ANYA BURGESS, KRISTI GUILLORY, YVETTE LANDRY)",2010-05-12
20100519_ca_004sr_pl_wb_kj,Old Buzzard,"Tascam DR000237 Kelli Jones in Double Date: Old Buzzard - traditional song, (public domain)",Kelli Jones,Kelli Jones at Whirlybird with Double Date,5-19-10 (2) KELLI JONES @ WHIRLYBIRD w/ “DOUBLE DATE”,2010-05-19
20100519_ca_008sr_pl_wb_kj,Rattlesnake Bit The Babay and Shortnin' Bread,"Tascam DR000241 Kelli Jones in Double Date: Medley: Rattlesnake Bit The Babay and Shortnin' Bread - traditional tunes (public domain) clog dancing by Kelli Jones and Emma Leahy-Good, fiddles: Joel Savoy and Linzay Young",Kelli Jones,Kelli Jones at Whirlybird with Double Date,5-19-10 (2) KELLI JONES @ WHIRLYBIRD w/ “DOUBLE DATE”,2010-05-19
20100519_ca_008sr_pl_wb_ms,Creole Stomp,Tascam DR000249 The Magnolia Sisters performing: Creole Stomp traditional - public domain,The Magnolia Sisters,Magnolia Sisters at Whirlybird,5-19-10 (3) MAGNOLIA SISTERS @ WHIRLYBIRD,2010-05-19
20100519_ca_001sr_pl_wb_bc,73,Tascam DR000252 Bonsoir Catin performing: 73 traditional - public domain,Bonsoir Catin,Bonsoir Catin at Whirlybird,"5-19-10 (4) BONSOIR, CATIN @ WHIRLYBIRD",2010-05-19
20100519_ca_003sr_pl_wb_bc,Longue Pointe 2 Step,Tascam DR000254 Bonsoir Catin performing: Longue Pointe 2 Step traditional - public domain,Bonsoir Catin,Bonsoir Catin at Whirlybird,"5-19-10 (4) BONSOIR, CATIN @ WHIRLYBIRD",2010-05-19
20100519_ca_005sr_pl_wb_bc,Alberta,Tascam DR000256 Bonsoir Catin performing: Alberta traditional - public domain,Bonsoir Catin,Bonsoir Catin at Whirlybird,"5-19-10 (4) BONSOIR, CATIN @ WHIRLYBIRD",2010-05-19
20100519_ca_006sr_pl_wb_bc,Ruben's Train,Tascam DR000257 Bonsoir Catin performing: Ruben's Train traditional - public domain,Bonsoir Catin,Bonsoir Catin at Whirlybird,"5-19-10 (4) BONSOIR, CATIN @ WHIRLYBIRD",2010-05-19
20100519_ca_008sr_pl_wb_bc,Bosco Stomp,Tascam DR000259 Bonsoir Catin performing: Bosco Stomp traditional - public domain,Bonsoir Catin,Bonsoir Catin at Whirlybird,"5-19-10 (4) BONSOIR, CATIN @ WHIRLYBIRD",2010-05-19
